scenario,width,height,changed_pixels,changed_percent,diff_bbox
alerts-active-selected-1440x900,1440,900,11539,0.8904,"501,582,687,594"
alerts-empty-1440x900,1440,900,5396,0.4164,"501,582,687,594"
alerts-failure-retains-results-1440x900,1440,900,11342,0.8752,"501,582,687,594"
alerts-loaded-2560x1440,2560,1440,11539,0.3130,"501,1122,687,1134"
alerts-loading-1440x900,1440,900,10221,0.7887,"501,22,1408,594"
alerts-resolved-1440x900,1440,900,11342,0.8752,"501,582,687,594"
demands-empty-1440x900,1440,900,0,0.0000,
demands-failure-retains-results-1440x900,1440,900,0,0.0000,
demands-gone-selected-1440x900,1440,900,0,0.0000,
demands-loaded-2560x1440,2560,1440,0,0.0000,
demands-loading-1440x900,1440,900,8706,0.6718,"1110,22,1408,39"
demands-visible-selected-1440x900,1440,900,0,0.0000,
overview-degraded-active-alert-1440x900,1440,900,0,0.0000,
overview-healthy-1440x900,1440,900,0,0.0000,
overview-loaded-2560x1440,2560,1440,0,0.0000,
overview-offline-stale-1440x900,1440,900,0,0.0000,
settings-default-1440x900,1440,900,0,0.0000,
settings-loaded-2560x1440,2560,1440,0,0.0000,
settings-validation-error-1440x900,1440,900,0,0.0000,
