"Scenario","Width","Height","ChangedPixels","ChangedPercent","BeforePngSha256","AfterPngSha256","BeforeXmlSha256","AfterXmlSha256","ReviewState"
"alerts-active-selected-1440x900","1440","900","1179210","90.9884","752E8A9A2DC18F5F6ACFF680F074A09BE904B93775BE0B29E6B411426028709C","F854AB3A69C7281A214F6302F7950EAAAA5D29843053B48CD4943372D876AE62","0B076B42C5A32DA6336A121FC4BA0ED87FB4E996101DC4AA07A321BF97F236C7","961758D9C52EE8C3AA1A24EF43FA33CCC8D9CCD9821669214C0D80D30F46DA34","PENDING_SCENARIO_REVIEW"
"alerts-empty-1440x900","1440","900","1212423","93.5512","35C0D28595B14EE667E27CFD5566F9FF6D8F14F80DCA1FB44C8DE68CD0045279","5206A5B4D26F6450715FCB608D6051468160344204EAEFCCFA1FBF4034307686","93B0B9E1507C2C01262DB20F2B0AFCE13814C58D50F14982030B6ADB4D83AFBC","85F5D7F27B97011E7418209461CAEC53155A2192BCB0F37E59EA2B78FFB5075A","PENDING_SCENARIO_REVIEW"
"alerts-failure-retains-results-1440x900","1440","900","1154755","89.1015","58057D53D67A7B787AA57029A2972B19702B12560AE82795760E3D0CD39897D3","01AD382D5F84709F8F7D8467DE91A8B494192841087C0A87DC4A1DE15CA5635D","C1D08999EBEA00DD500BAC2C7DD70DD4BB84F9D8A5561BA82D892F0B3097D916","F630C637F7456A99A41A5F8786C6A890BD37ADC1B2EFE9D2E024301CADEFFE76","PENDING_SCENARIO_REVIEW"
"alerts-loaded-2560x1440","2560","1440","3444148","93.4285","453AF1EAD9DA37C51CDA70D493CE7139E603BC36A933377D0606B3D0C5B4E975","8CC02602DBC693192444280452349004D64C0EA784A5296C9A5823085F2ED40C","326E0037725F6A1E8387B7301A77452B5F3950CD5C62F57908472B2E51F6E5EF","262D3F7454ABEBA0B2CADB6B4313BCB6D5822D26982D0B91B35012584A9CF2E7","PENDING_SCENARIO_REVIEW"
"alerts-loading-1440x900","1440","900","1212122","93.5279","020022BF32E67364E2FBA9B1259523FDC4779CBA818D0C85FFBC05F28ED3F3D6","EFADA32A4F31850B7211EC33D95506805150447907B82C61D0AD6ADBA9CA77CB","74A894B25A272D052AFD7093BE5D162F61E8E78784FE9B3F51BD97B373F7A38C","A0120564DEB81F156218034B126D8E77971BEDEB739035B9D5416DBBA759E970","PENDING_SCENARIO_REVIEW"
"alerts-resolved-1440x900","1440","900","1179459","91.0076","9A9E41DFDB89FD42F07BE4D1279B96D0B3781C33DD0895ADEC1ADBD18925E28D","718DA18E92957AC581385916BADA58B8C3134D0ED42D400792C9DA1F3BC5BE63","EE0D2777E41E17D7D0EA95238EBE4FBD71739E58927EF4C6AE15037D7417C5CE","CF6A0F443F7E11EF3183184A8C961A4F6BD06D95B5B8A18E5725D4B12A35A80F","PENDING_SCENARIO_REVIEW"
"demands-empty-1440x900","1440","900","1058590","81.6813","831E44C76963E7CEB6AB15B391E95CF767B909B1B8FEEACA2CF456A77F8AD425","86B6AEDEDD2408E92D9A8F85C06053805AA22FA885326392B613E83466DB50D8","7E3523F1289923B2A9B05FB52331492AD3D341669697DE3A0F887E3DA4B4A21B","CACFA5A2C4E0DC0345A5623E0FDB4D7EE00CED13110EA4BBC4ED64A042666BFA","PENDING_SCENARIO_REVIEW"
"demands-failure-retains-results-1440x900","1440","900","1022977","78.9334","31ACC5D82D2EB4ADB0193757888F77FB006DB23E02AC7E228BB29B637129261B","21973C5C117C9DBE86C1D10A426D2DD0503970F6F2E0D373546CCCEF1C851A8F","AE775DBAAD5133CC929809DDD1CCC8D378D657333A68884B03083A4308DADD63","F1DA16E554E1CDC6EA37DFEC0B261EE4162268CEF1772DAC772208B43C690A5B","PENDING_SCENARIO_REVIEW"
"demands-gone-selected-1440x900","1440","900","1155093","89.1275","DE5A67FF526E530A52CA15A84AC7C78DD829752B473CF52AFB25FE654C5DFD73","62D56867024C0F15EB668B612905635BFB634F1FAB527D1835FBD30CF6C1FE8B","8BF6F32E9AC02F42C30916CE4B6360A7F2EA48992959C95133165B5E8073FFCE","AE301BB1CC4FD43A3B12F32EB09310CCC1E915C0901BD5426C788BE6BC71E29F","PENDING_SCENARIO_REVIEW"
"demands-loaded-2560x1440","2560","1440","3330631","90.3491","CC3C3872AA07681564A2E88062BCE433CCC298CF7FFD81120FDFE1A5D06D106B","243211CBD2CDB2DA17CD89A89E7F4E27A301BED16B646CD68DD8E97D27DA5932","47EB7E4FD33743576C493826113D5354A5008DBA79CD8A2385B10ACF087E2934","D64E0A846CEC805E270C5F29BEA43DC9F8CCFAC284ACE5ED0F8CB2AE818E5CD3","PENDING_SCENARIO_REVIEW"
"demands-loading-1440x900","1440","900","1059098","81.7205","9FA2242D355714E1F8014808BEAEB020C7A5AB3353A414E47DD6703855A5B2CC","AA0C53196EA580E91BA01278B354F11A9B5F699E94DE196325CEAF406D75185E","28160764E91596D19ABD1CB6907CB45979F75643F46784E973D36894E5B3689F","7227F21D1D3814E80AC825E1A606F9AA359B52461DBB5994C2CD82370C6FAB26","PENDING_SCENARIO_REVIEW"
"demands-visible-selected-1440x900","1440","900","1154448","89.0778","591EE748394D1F4E516DE2A9192025ED449D4DA0F67D249238BC9AA62E4F3F75","3FCB78D4E3F79C0D8E3FDA56376A12F143775975319F69DD8F9E44782D30051E","E5616AB90BD084D1CCBC6450C124FC7BC0BD7A2B64F7439EB4E4BE586E8701D0","8B3953E5EDB545E882FF8DDD67EE6F1EB41888D15E7B40FDE25EBFD250D5B49E","PENDING_SCENARIO_REVIEW"
"overview-degraded-active-alert-1440x900","1440","900","931623","71.8845","F3D8AB8B1F09D781FDA4407BAD40CBDD8ACF2F75E31DD5C11718F6E097D3DBB3","FB046F70E6546B6E0F808E2234158C8C33E34BEBED5E302CF64369C7E119B31F","B77489B5CF583447AB23675BC1BC36CC018E569D3AB957524BE3607054D0C1A3","9025B726000CFD235676E2A889687D19C518EE6B10AB0373D55297CF004A71CD","PENDING_SCENARIO_REVIEW"
"overview-healthy-1440x900","1440","900","918155","70.8453","8B97A3A964E79B16FC8B8D7217689451C76AE753FED29FF9741AB8D4509727A0","0F6A36820ADD39875A3CF1FFA1C593869564A93A3C3C29228CBAAE14F2159BAF","E9F14EDCACA211136D0F1159ACD3606C954DD01931459D0D7C0FA07EF0AA07B6","6939367DB9933FC7708FFA271D0CFAC1999B6EAB507BB3655D73E42768712011","PENDING_SCENARIO_REVIEW"
"overview-loaded-2560x1440","2560","1440","2313909","62.7688","45B35317699D52199449A2E2F758E252BAA99B879A2D5AD9054D15C7387B718B","63B1DF40ACD2515C2B5A33DBD25DB1BD421C98D05168530361DBA42AD44DA0C8","C92A92BF09E12E68A5FCB15F99AB1AF6F412209BDB45282E07894918F616C3F3","263DC52AAD0B1DBE8B0ED6011B0EF72E013593E8DD2F757EDDF5530495E5B6F5","PENDING_SCENARIO_REVIEW"
"overview-offline-stale-1440x900","1440","900","932055","71.9178","9769BFF9231D38FB5F5047CE60A6F3A213B5CADE74484D1ED8FBD51ED77B8D3F","1CA36BDA5D25842366A2EA49E513E6D26EF3CEBCE75C079C575DF1F9247643C9","C084091323B81C8164BDA147B068BDF0399677FFEB8B4AAA033CC98C7B7FFF95","BD0AF742C194151141D0C452698E515559EC3C54FE6DDF6A899E04A31E7DD024","PENDING_SCENARIO_REVIEW"
"settings-default-1440x900","1440","900","1226712","94.6537","12DA9E41454A01873D6F5EDFD2F190061D24CF9FD023267D32D37C6AD89F5AEA","C75A0FEF9A7F8B9CF42EC3E841FC645CFE66475E664D07601A853ECABB81B646","50B7BC2D4826207BEF5BB171CBD001F620BC436BE07D6338CE6EA3314F8E7BEA","72DB539B83F790A1CBDA6558CA358EF3362911EE896801D690C79FFDCB3F8726","PENDING_SCENARIO_REVIEW"
"settings-loaded-2560x1440","2560","1440","3564472","96.6925","47A24BF40ED049A6AF9477F11C7F547DDE0A6B82B071E9DC82B9C8EC5EFFEB32","CED80E3B15783FC2CC59FA09F965982658B4AD5626D5CDFBC1DDCD0321473AD1","F51D7D6CC291968669745616B68866BF476F860E53F9FEE383A6F1781B314C94","BBFDC71F2257D7C7AA5E09B8689FC59674689EC18B398A4DC6D22121A0C45A4D","PENDING_SCENARIO_REVIEW"
"settings-validation-error-1440x900","1440","900","1224985","94.5204","5E84559CF23C2D58D586D7522D1B257C4B728FFE995A15172650A8872EA2F46D","7F58AAC3F80410A7CA0EC6E660EACAB0BBABFDFB68501FF94CF750D26C11B181","A16DBC5F4F0E40B6ADBD8B203F664B27CF27AB15DA9B2140E0587D2CE09072A3","D3FAB24FF887AFC98C462FB956F46C58196B30190FED4EB08B31FD99FCE6212B","PENDING_SCENARIO_REVIEW"
