"record_id"	"batch_id"	"path"	"sha256"	"bytes"	"inventory_snapshot_git_status"	"effective_snapshot_git_status"	"inventory_material_role"	"document_class"	"source_type"	"current_applicability"	"history_or_derivation"	"approval_named_authorizer"	"approval_date"	"approval_scope"	"approval_version_binding"	"document_approval_state"	"atomic_requirement_extraction_route"	"evidence_or_conflict_pointers"	"investigation_pointer"
"R06-01"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-042-dashboard-normal-display.md"	"8a85621b35c8e6c3da1aa338147f0417b9c89326780a0d2982ee1b80d8cd8961"	"889"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；看板正常展示候选; no test execution evidence"	"FR-015 AC-1 / UC-011"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；看板正常展示候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:62"
"R06-02"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-043-dashboard-refresh-failure-retain-old-data.md"	"ce5bd7e5c0b0b24c4b84e65b5291d85b5fe4c35d356998ec80eb44e0d584a4a3"	"849"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；刷新失败保留旧值候选; no test execution evidence"	"FR-015 AC-2 / UC-011"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；刷新失败保留旧值候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:63"
"R06-03"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-044-slot-disable-eligible-success.md"	"64afb7b39fdfee16d38ee4b5c3ffdfe3be752b8ca3e9b9e0ec4da8331be3479e"	"674"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-D"	"upstream-drifted-internal-test-case-draft"	"D；只覆盖旧版 Idle→Disabled; no test execution evidence"	"FR-016 AC-1 / UC-014"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"blocked-until-upstream-version-drift-is-rewritten-or-explicitly-version-bound"	"D；只覆盖旧版 Idle→Disabled; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:64"
"R06-04"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-045-slot-disable-not-idle-skip.md"	"5a26cd58e51f66ff5ebc6920ff6a4e6b8a7562f2d2abf114e6ebf121218af19b"	"739"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-D"	"upstream-drifted-internal-test-case-draft"	"D；“占用即跳过”与当前待禁用冲突; no test execution evidence"	"FR-016 AC-2 / UC-014"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"blocked-until-upstream-version-drift-is-rewritten-or-explicitly-version-bound"	"D；“占用即跳过”与当前待禁用冲突; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:65"
"R06-05"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-046-slot-enable-eligible-success.md"	"3746325fc49a3b2429c9649dc6b8a5e1edb3000f368921724c35db1c69e58d79"	"668"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-D"	"upstream-drifted-internal-test-case-draft"	"D；遗漏硬件不可操作不得覆盖; no test execution evidence"	"FR-016 AC-3 / UC-014"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"blocked-until-upstream-version-drift-is-rewritten-or-explicitly-version-bound"	"D；遗漏硬件不可操作不得覆盖; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:66"
"R06-06"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-047-slot-enable-not-disabled-skip.md"	"9f6dcbf3c0d90ea71a818a2a1c4070e581b757c48c115297e80c67887425e28d"	"714"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-D"	"upstream-drifted-internal-test-case-draft"	"D；当前 AC-4 已是批量独立结果; no test execution evidence"	"FR-016 AC-4 / UC-014"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"blocked-until-upstream-version-drift-is-rewritten-or-explicitly-version-bound"	"D；当前 AC-4 已是批量独立结果; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:67"
"R06-07"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-048-unlock-test-pass-record-normal.md"	"1a6d1192220b267cbc857b9e93ab9d50d166a194996c58e3e67cf3b9f79abe17"	"864"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；开锁完整成功候选；与 TC-055 重叠审查; no test execution evidence"	"FR-017 AC-1 / UC-015"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；开锁完整成功候选；与 TC-055 重叠审查; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:68"
"R06-08"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-049-unlock-command-dispatch-failure.md"	"2e65d50cbdd8131f6be5997eeeeb4e72ce6a8f9320d8bbc0c641e515c7e5f608"	"758"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；指令下发失败候选; no test execution evidence"	"FR-017 AC-2 / UC-015"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；指令下发失败候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:69"
"R06-09"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-050-door-not-opened-mark-abnormal.md"	"2bfbd081b377aeadf6a0a5f0b9e7c3b56fb043fd1a8b0e6a9f34b4a6fa45393f"	"794"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；未弹门候选；与 TC-056 重叠审查; no test execution evidence"	"FR-017 AC-3 / UC-015"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；未弹门候选；与 TC-056 重叠审查; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:70"
"R06-10"	"R06"	"requirement-documents/05-test-cases/02-slot-and-hardware/tc-051-light-curtain-precheck-abnormal.md"	"601df5366aaf0095ef15e0887e9141986d5326db123ca96479b55e037575f6a8"	"759"	"tracked-clean"	"tracked-clean"	"candidate-acceptance"	"R06-A"	"unapproved-internal-derived-test-case-draft"	"A；光幕初态异常候选; no test execution evidence"	"FR-018 AC-1 / UC-016"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-scenario-level-decomposition-deduplication-source-review-and-explicit-approval"	"A；光幕初态异常候选; retain upstream FR/UC/BR pointers and R06 overlap/drift findings; execution evidence remains separate"	"R06-slot-hardware-fleet-test-cases.md:71"
