"path"	"change_kind"	"git_status"	"head_blob"	"index_blob"	"sha256"	"initial_sha256"	"bytes"	"last_write_utc"	"classification"	"source"	"applicability"	"approval_effect"
".agents/skills/ask-matt/PHASE-BOUNDARIES.md"	"added"	"tracked-clean"	"cb31e6abf5c3fce903f1f4ed554cf541c9354977"	"cb31e6abf5c3fce903f1f4ed554cf541c9354977"	"58d815e0e4b8846b6bd3d35c5cfbadb784f07e73801639a2866331b9530a5963"	""	"4331"	"2026-08-24T03:23:34.0232130Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/ask-matt/SKILL.md"	"modified"	"tracked-clean"	"d44170a55e2748095db95e81365c797b9d21c0cb"	"d44170a55e2748095db95e81365c797b9d21c0cb"	"cd7ccdd9ccba5660c494af4d9b2df63b64e5d0621fe02586016fc1e3e0934a2d"	"a0f30d3072de6121353cd513f1b6bedd526d0a296edd9cddefae5b3f27f367b2"	"11627"	"2026-08-24T03:23:34.0242133Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/code-review/agents/openai.yaml"	"modified"	"tracked-clean"	"17d36c8e8377c8361455d6bb91b534589f3f1b7e"	"17d36c8e8377c8361455d6bb91b534589f3f1b7e"	"93d64950b3ba474f61555b6d7148be5e65e78527602d884b52467aee5293b84d"	"3f72329747a916ac8ab2b4004490c79e1be6774a8a83e5b258d6ddc7e866abfe"	"148"	"2026-08-24T03:23:34.0263571Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/code-review/SKILL.md"	"modified"	"tracked-clean"	"2d276fe88bddd363395b4887a555769222a34975"	"2d276fe88bddd363395b4887a555769222a34975"	"e32441ce3f64628daeb6270bf56104f461b1341aa472cc3968424e90ece17bc4"	"e5507100ac01a04d082ac23ac6311d0fec8699d1ab00c599db7064039b819f63"	"6721"	"2026-08-24T03:23:34.0253505Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/codebase-design/agents/openai.yaml"	"modified"	"tracked-clean"	"eb8ffabc7026ffbac3c9be3adef99b598c427b92"	"eb8ffabc7026ffbac3c9be3adef99b598c427b92"	"672dd95f54d779cd369308ebbeabdf88da500f7957ff752f0e9156cea625d04f"	"967df5c80a2a00e8fea9ce0e7914fb57114c93d16baa3b7743347a4dfeed61fc"	"150"	"2026-08-24T03:23:34.0283550Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/codebase-design/DESIGN-IT-TWICE.md"	"modified"	"tracked-clean"	"8419ad6fa966be2e9e435c932b3584df56cb1af6"	"8419ad6fa966be2e9e435c932b3584df56cb1af6"	"1848f9825d4fc0df4525e094ab32637f5cd324f16a7dcd5b9c39c52e23bc1ca1"	"578a9a67c20fda10a7e5442e2208d0e5cf68601d012b0ecd6469e651100a308f"	"2735"	"2026-08-24T03:23:34.0273551Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/diagnosing-bugs/agents/openai.yaml"	"modified"	"tracked-clean"	"d8964cd895d99d3002c0c23b45cbd404b79160b5"	"d8964cd895d99d3002c0c23b45cbd404b79160b5"	"573e2ca5825ab9fa3b2baa1267dde1af5d5a2905c6ddcd639b9fb62da129a7ce"	"167ab1659754b8c53706ecca7502ccc7fb219ff14f0c36bfb1db05ae31a8ac58"	"151"	"2026-08-24T03:23:34.0303543Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/diagnosing-bugs/SKILL.md"	"modified"	"tracked-clean"	"7f8acf7e3c5929a557d7bf26c88a7844551e3976"	"7f8acf7e3c5929a557d7bf26c88a7844551e3976"	"7ff486208dfcad5ec4d27ed0c091eee4183f3812581f55638e9ddf6fcf7aba1a"	"3dfe5ec16b89a01dbc1bf606a1a1cfc32349e225f3bb75a3fb86117974a83cb8"	"9109"	"2026-08-24T03:23:34.0293633Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/domain-modeling/agents/openai.yaml"	"modified"	"tracked-clean"	"6477ab36e58100b3937cc1a0fd235c8b1fddc79e"	"6477ab36e58100b3937cc1a0fd235c8b1fddc79e"	"7bf1b5abe95247150d0ee5e9756e1018273ca5d506a60f61e377cdae2c2cd82c"	"ce496c77c77a090877bff10f198c9770fb52e23088351350ea0826380f948ff8"	"149"	"2026-08-24T03:23:34.0323567Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
".agents/skills/grill-me/SKILL.md"	"modified"	"tracked-clean"	"398546c32c4c4b31c7124e3e1d30cc3911c30f48"	"398546c32c4c4b31c7124e3e1d30cc3911c30f48"	"f3457ef9d0d654ca0d19acec3c805839bcd53a1d21dbba510cd52150ad88468d"	"9c71927d4f0fd32d815247b4ca1fc782d4c5f2f3c1d6d023d188d4a7e0299b21"	"200"	"2026-08-24T03:23:34.0333563Z"	"support-approval-evidence"	"repository governance material"	"agent and repository process boundary only; outside product requirement content"	"none-by-capture"
