batch_id	issue_number	issue_file	title	required_role	primary_source	candidate_count	first_req	last_req	candidate_ids	approval_payload_sha256	initial_ticket_sha256	status
V1-APP-001	89	issues/89-approve-req-0001-req-0004.md	最终批准 REQ-0001–REQ-0004：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0001	REQ-0004	REQ-0001,REQ-0002,REQ-0003,REQ-0004	f28dc8d7b5dc2f3c2fee8d06ef2f0afddcb497017f84f11d6fdb62995f1cfb1f	cc65616d5966bb024846f86791bcb36e7c300b65604002c6f984c85c6c90661e	awaiting-user-final-item-approval
V1-APP-002	90	issues/90-approve-req-0005-req-0008.md	最终批准 REQ-0005–REQ-0008：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0005	REQ-0008	REQ-0005,REQ-0006,REQ-0007,REQ-0008	120bac052cfcd00795ce13e515a4819675acf4e6c7c637d0b8771940ac9ea07d	e2708be39d2f8a1db3108227a4a35a13ae4cab141f61ca368f578d40f9f1d20c	awaiting-user-final-item-approval
V1-APP-003	91	issues/91-approve-req-0009-req-0012.md	最终批准 REQ-0009–REQ-0012：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0009	REQ-0012	REQ-0009,REQ-0010,REQ-0011,REQ-0012	0b2369fe61a0f03016b22892949fa328142bcdd68919200156457470f5e27b6f	4d6dfdd58051e128024811d8c827a679aa173d77cc130534266cfde51b7582dd	awaiting-user-final-item-approval
V1-APP-004	92	issues/92-approve-req-0013-req-0016.md	最终批准 REQ-0013–REQ-0016：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0013	REQ-0016	REQ-0013,REQ-0014,REQ-0015,REQ-0016	8a46395cc69140bb99ba4d43dd93b71d0b406b2d962d031522850619bac131d8	37f1d594e71473df75e32542ecebdc2ac3fe47c905df5b0737c3d70c492f8451	awaiting-user-final-item-approval
V1-APP-005	93	issues/93-approve-req-0017-req-0020.md	最终批准 REQ-0017–REQ-0020：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0017	REQ-0020	REQ-0017,REQ-0018,REQ-0019,REQ-0020	cdf5b1adfbe042fdad4d96c33f508bb707461ebcf445c83c4ef676e3c6fd4193	34611e17e6bb09342acfeed7e6355f005ac76058278226405c90a86db5947d98	awaiting-user-final-item-approval
V1-APP-006	94	issues/94-approve-req-0021-req-0024.md	最终批准 REQ-0021–REQ-0024：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0021	REQ-0024	REQ-0021,REQ-0022,REQ-0023,REQ-0024	115809e553becc7853d1e689921481825d97d07ebda0077c15c8c54a1b0516c5	67a73d330d564325fdfe55e9e60d8858830b6869d0765086e965ecae49b1484f	awaiting-user-final-item-approval
V1-APP-007	95	issues/95-approve-req-0025-req-0028.md	最终批准 REQ-0025–REQ-0028：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0025	REQ-0028	REQ-0025,REQ-0026,REQ-0027,REQ-0028	e45de05e9325758851dcc04e96f8f29fe6f9722ef58e8783f489b51c053d38b5	e6e0c9562075a83f5454627f7f2c7de794956e73c78634560a185e8fd99d5780	awaiting-user-final-item-approval
V1-APP-008	96	issues/96-approve-req-0029-req-0032.md	最终批准 REQ-0029–REQ-0032：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0029	REQ-0032	REQ-0029,REQ-0030,REQ-0031,REQ-0032	a92dc0a5ce94512eea438c90003a8749405a7e0856544aefe99030fa395be33c	da56b1e0365f5dd650bc8820eec654449ede3a87ed486a8e77c88fd924aa27ca	awaiting-user-final-item-approval
V1-APP-009	97	issues/97-approve-req-0033-req-0036.md	最终批准 REQ-0033–REQ-0036：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0033	REQ-0036	REQ-0033,REQ-0034,REQ-0035,REQ-0036	8acb7d0ef00985fd1501bf2cff04f3249c7e8be06c61f90c882a86f995ded172	fe3a5f6aa32ea473ff1076feb6e4636678810dd4a8c912e96242e46d1d922e0a	awaiting-user-final-item-approval
V1-APP-010	98	issues/98-approve-req-0037-req-0040.md	最终批准 REQ-0037–REQ-0040：新版 MesIngest 当前规范	MesIngest 产品、数据契约责任人与最终批准人	.scratch/new-mes-ingest/spec.md	4	REQ-0037	REQ-0040	REQ-0037,REQ-0038,REQ-0039,REQ-0040	a2714477c8d103f9149e642385fcf1479998198d602c5230da2b54abd3672483	c75b35fe9fef64059a16634191335476ae77f603e5126ecaf54d4637de35755f	awaiting-user-final-item-approval
