recordedAt=2026-08-10T01:45:01.1927505+00:00 correlationId=8304cbd413544d8396875abcbe4261b4 component=Watch stage=HTTP_OK elapsedMs=67 endpoint=/api/contract statusCode=200 rowCount=1 bytes=59
recordedAt=2026-08-10T01:45:01.2282590+00:00 correlationId=a8d3e5910f71410c935137633a4858d8 component=Watch stage=HTTP_OK elapsedMs=31 endpoint=/api/poll-health statusCode=200 rowCount=1 bytes=210
recordedAt=2026-08-10T01:45:01.2446708+00:00 correlationId=7ff7efd564ae406b9e223225bc5ec7ed component=Watch stage=HTTP_OK elapsedMs=1 endpoint=/api/poll-health statusCode=200 rowCount=1 bytes=210
recordedAt=2026-08-10T01:45:01.2675059+00:00 correlationId=2bc70c5b3e1247e5bf12d9c02ad737c2 component=Watch stage=HTTP_OK elapsedMs=19 endpoint=/api/alerts statusCode=200 rowCount=1 bytes=519
recordedAt=2026-08-10T01:45:01.2748040+00:00 correlationId=af792cc8ac3643ce823fe372574a4dd3 component=Watch stage=HTTP_OK elapsedMs=23 endpoint=/api/demands statusCode=200 rowCount=1 bytes=436
recordedAt=2026-08-10T01:45:01.7769657+00:00 correlationId=6ce3161495f84fe7ad3cc1fb9c6bba11 component=Watch stage=HTTP_OK elapsedMs=1 endpoint=/api/alerts statusCode=200 rowCount=1 bytes=519
recordedAt=2026-08-10T01:45:02.3976721+00:00 correlationId=4468c6bdaed041529e73af8ab555cac6 component=Watch stage=HTTP_OK elapsedMs=2 endpoint=/api/demands/journey-visible-001 statusCode=200 rowCount=1 bytes=390
recordedAt=2026-08-10T01:45:02.6173822+00:00 correlationId=bebc9a17bcd84040a433b2cf659be542 component=Watch stage=HTTP_OK elapsedMs=1 endpoint=/api/demands/journey-visible-001 statusCode=200 rowCount=1 bytes=390
recordedAt=2026-08-10T01:45:02.6254435+00:00 correlationId=3f213430c1d24af3a40510a4da4e100c component=Watch stage=HTTP_OK elapsedMs=1 endpoint=/api/demands statusCode=200 rowCount=1 bytes=436
recordedAt=2026-08-10T01:45:02.6695521+00:00 correlationId=5c3219b273c44717aaeb8a38fb2c149f component=Watch stage=HTTP_OK elapsedMs=2 endpoint=/api/demands/journey-visible-001 statusCode=200 rowCount=1 bytes=390
recordedAt=2026-08-10T01:45:03.1322531+00:00 correlationId=73b6c18e1cbc479ba7c744c9db89f51a component=Watch stage=HTTP_OK elapsedMs=1 endpoint=/api/demands/journey-visible-001 statusCode=200 rowCount=1 bytes=390
