pattern,match_type,max_boxes_per_basket,source,status,note
PDFN5×6-8L(12R),exact,4,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
PDFNWB3.3×3.34,exact,4,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
PDFNWB5×6,exact,4,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-126,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220-2L-C,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220-3L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220-3L-C(T0.5mm),exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220-5L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220D-5L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-220F,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247-2L-A,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247-4L,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247A-4L,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247B-3L,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-247Plus-4L,exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-251,exact,10,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-252-2L(4R),exact,5,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-252-2L(6R),exact,4,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-252-2L(8R),exact,4,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-252-5L,exact,10,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-263-2L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-263-5L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-263-7L(2R),exact,6,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-263C-2L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-264-3L,exact,8,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TO-92,exact,12,客户提供花篮容量对照表（2026-07-16迁移）,active,客户原表精确规则
TOLL-,prefix,3,客户提供花篮容量对照表（2026-07-16迁移）,active,仅匹配带连字符的 TOLL- 字面前缀
